game_id,date,home_team,away_team,home_score,away_score,home_win
0022500301,2025-11-30,UTA,HOU,101,129,0
0022500309,2025-12-01,DET,ATL,99,98,1
0022500313,2025-12-01,MIA,LAC,140,123,1
0022500310,2025-12-01,IND,CLE,119,135,0
0022500316,2025-12-01,UTA,HOU,133,125,1
0022500315,2025-12-01,DEN,DAL,121,131,0
0022500314,2025-12-01,ORL,CHI,125,120,1
0022500317,2025-12-01,LAL,PHX,108,125,0
0022500312,2025-12-01,BKN,CHA,116,103,1
0022500311,2025-12-01,WAS,MIL,129,126,1
0022500319,2025-12-02,TOR,POR,121,118,1
0022500318,2025-12-02,PHI,WAS,121,102,1
0022500320,2025-12-02,BOS,NYK,123,117,1
0022500323,2025-12-02,GSW,OKC,112,124,0
0022500322,2025-12-02,SAS,MEM,126,119,1
0022500321,2025-12-02,NOP,MIN,142,149,0
0022500326,2025-12-03,ORL,SAS,112,114,0
0022500327,2025-12-03,ATL,LAC,92,115,0
0022500330,2025-12-03,HOU,SAC,121,95,1
0022500324,2025-12-03,CLE,POR,110,122,0
0022500329,2025-12-03,CHI,BKN,103,113,0
0022500325,2025-12-03,IND,DEN,120,135,0
0022500332,2025-12-03,DAL,MIA,118,108,1
0022500331,2025-12-03,MIL,DET,113,109,1
0022500328,2025-12-03,NYK,CHA,119,104,1
0022500337,2025-12-04,NOP,MIN,116,125,0
0022500334,2025-12-04,WAS,BOS,101,146,0
0022500335,2025-12-04,BKN,UTA,110,123,0
0022500336,2025-12-04,TOR,LAL,120,123,0
0022500333,2025-12-04,PHI,GSW,99,98,1
0022500340,2025-12-05,ATL,DEN,133,134,0
0022500341,2025-12-05,CLE,SAS,130,117,1
0022500346,2025-12-05,HOU,PHX,117,98,1
0022500343,2025-12-05,NYK,UTA,146,112,1
0022500345,2025-12-05,CHI,IND,105,120,0
0022500344,2025-12-05,TOR,CHA,86,111,0
0022500349,2025-12-05,OKC,DAL,132,111,1
0022500342,2025-12-05,DET,POR,122,116,1
0022500348,2025-12-05,MIL,PHI,101,116,0
0022500339,2025-12-05,ORL,MIA,106,105,1
0022500338,2025-12-05,BOS,LAL,126,105,1
0022500347,2025-12-05,MEM,LAC,107,98,1
0022500353,2025-12-06,DET,MIL,124,112,1
0022500354,2025-12-06,MIA,SAC,111,127,0
0022500356,2025-12-06,DAL,HOU,122,109,1
0022500352,2025-12-06,CLE,GSW,94,99,0
0022500355,2025-12-06,MIN,LAC,109,106,1
0022500350,2025-12-06,BKN,NOP,119,101,1
0022500351,2025-12-06,WAS,ATL,116,131,0
0022500357,2025-12-07,NYK,ORL,106,100,1
0022500360,2025-12-07,MEM,POR,119,96,1
0022500358,2025-12-07,TOR,BOS,113,121,0
0022500361,2025-12-07,CHI,GSW,91,123,0
0022500363,2025-12-07,UTA,OKC,101,131,0
0022500362,2025-12-07,PHI,LAL,108,112,0
0022500359,2025-12-07,CHA,DEN,106,115,0
0022500364,2025-12-08,IND,SAC,116,105,1
0022500365,2025-12-08,MIN,PHX,105,108,0
0022500366,2025-12-08,NOP,SAS,132,135,0
0022501202,2025-12-09,TOR,NYK,101,117,0
0022501201,2025-12-09,ORL,MIA,117,108,1
0022501204,2025-12-10,LAL,SAS,119,132,0
0022501203,2025-12-10,OKC,PHX,138,89,1
0022501208,2025-12-11,SAC,DEN,105,136,0
0022501207,2025-12-11,NOP,POR,143,120,1
0022501206,2025-12-11,MIL,BOS,116,101,1
0022501205,2025-12-11,HOU,LAC,115,113,1
0022501215,2025-12-12,GSW,MIN,120,127,0
0022501214,2025-12-12,DAL,BKN,119,111,1
0022501212,2025-12-12,WAS,CLE,126,130,0
0022501213,2025-12-12,MEM,UTA,126,130,0
0022501209,2025-12-12,CHA,CHI,126,129,0
0022501210,2025-12-12,DET,ATL,142,115,1
0022501211,2025-12-12,PHI,IND,115,105,1
0022501221,2025-12-14,POR,GSW,136,131,1
