PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,PTS_STD,REB_STD,AST_STD,STL_STD,BLK_STD,FG_PCT_STD,FG3_PCT_STD,MIN_STD,GAMES_LOGGED
1631170,Jaime Jaquez Jr.,1610612748,MIA,24.0,4,3,1,0.75,27.9,7.8,11.3,0.689,0.5,2.0,0.25,2.8,3.3,0.846,1.3,5.0,6.3,4.3,2.3,1.3,0.0,0.3,2.3,2.3,18.8,25.8,128.3,89.2,39.1,0.193,22.1,0.047,0.137,0.099,11.7,0.711,0.739,0.208,108.27,0.178,6.4485140407177015,2.6299556396765835,2.217355782608345,0.9574271077563381,0.0,0.09964436762808018,0.25,1.4142135623730951,4
1629012,Collin Sexton,1610612766,CHA,26.0,4,2,2,0.5,26.8,6.3,10.8,0.581,1.5,2.5,0.6,4.5,5.5,0.818,0.3,2.3,2.5,4.8,2.3,1.0,0.0,0.8,2.5,5.5,18.5,-1.0,115.7,115.4,0.3,0.25,23.8,0.01,0.082,0.047,11.3,0.651,0.702,0.221,109.28,0.129,2.6457513110645907,1.7320508075688772,2.0615528128088303,0.816496580927726,0.0,0.11224229743431541,0.4112987559751022,6.946221994724902,4
1630596,Evan Mobley,1610612739,CLE,24.0,4,3,1,0.75,33.6,5.8,13.3,0.434,1.8,5.5,0.318,5.0,6.8,0.741,1.5,7.3,8.8,4.8,2.5,1.8,2.0,0.5,3.0,4.0,18.3,8.8,117.1,103.0,14.1,0.207,20.0,0.046,0.203,0.128,10.5,0.5,0.563,0.231,105.6,0.142,4.9916597106239795,1.5,1.2583057392117916,1.5,0.816496580927726,0.04872029009218507,0.1436140661634507,2.516611478423583,4
1642264,Stephon Castle,1610612759,SAS,20.0,4,4,0,1.0,30.7,6.0,11.5,0.522,1.3,4.3,0.294,5.0,8.8,0.571,1.5,4.5,6.0,4.8,6.3,1.3,0.3,0.5,2.5,5.8,18.3,7.0,112.1,101.2,10.9,0.253,17.9,0.059,0.137,0.103,23.6,0.576,0.594,0.309,100.14,0.101,4.5,0.816496580927726,1.5,0.9574271077563381,0.5,0.10490312991835216,0.16790175698902024,1.707825127659933,4
1642349,Ajay Mitchell,1610612760,OKC,23.0,5,5,0,1.0,26.6,7.0,14.8,0.473,1.6,4.6,0.348,2.6,2.6,1.0,1.2,2.6,3.8,3.0,1.4,1.2,0.2,0.6,3.0,3.4,18.2,3.6,105.8,97.5,8.3,0.211,15.0,0.043,0.081,0.063,7.0,0.527,0.571,0.274,100.61,0.148,4.604345773288536,3.1144823004794877,2.5495097567963922,0.8366600265340756,0.447213595499958,0.029266021253323796,0.3039271294241434,8.324662155306966,5
1628969,Mikal Bridges,1610612752,NYK,29.0,4,2,2,0.5,36.4,6.5,12.0,0.542,2.3,4.8,0.474,2.8,3.0,0.917,1.8,5.0,6.8,4.5,0.8,1.5,0.8,0.3,3.0,2.3,18.0,-0.3,109.6,109.9,-0.3,0.209,25.0,0.043,0.136,0.087,4.2,0.635,0.676,0.148,103.05,0.142,5.163977794943222,2.8722813232690143,1.9148542155126762,1.2909944487358056,0.9574271077563381,0.06411123146532127,0.1127962765342899,2.5,4
1626162,Kelly Oubre Jr.,1610612755,PHI,29.0,4,4,0,1.0,38.6,5.8,11.3,0.511,2.3,5.0,0.45,4.0,4.3,0.941,1.8,4.8,6.5,1.8,0.8,1.0,1.0,0.8,1.8,5.0,17.8,5.5,122.0,114.9,7.1,0.066,11.3,0.041,0.107,0.075,4.8,0.611,0.676,0.143,101.71,0.117,6.18465843842649,4.795831523312719,1.5,0.816496580927726,0.816496580927726,0.16831790358326904,0.1756366988986072,4.272001872658765,4
201950,Jrue Holiday,1610612757,POR,35.0,4,2,2,0.5,31.4,6.8,14.0,0.482,2.5,6.5,0.385,1.8,2.3,0.778,0.8,4.8,5.5,7.8,3.0,1.3,0.5,0.3,2.3,2.0,17.8,7.8,118.4,104.2,14.2,0.352,30.1,0.022,0.156,0.085,11.7,0.571,0.592,0.225,107.23,0.142,5.678908345800274,0.5773502691896257,2.217355782608345,1.2583057392117916,1.0,0.1425304061127543,0.18786941386683106,2.753785273643051,4
1629656,Quentin Grimes,1610612755,PHI,25.0,4,4,0,1.0,31.6,5.0,11.8,0.426,3.3,6.8,0.481,4.5,5.3,0.857,0.5,4.5,5.0,3.8,2.8,0.8,0.5,0.8,3.8,4.3,17.8,9.0,124.7,111.7,13.1,0.167,18.3,0.015,0.132,0.073,13.4,0.564,0.631,0.211,101.19,0.105,6.849574196011505,1.632993161855452,0.9574271077563381,1.5,1.0,0.058971744646624344,0.20552270758564206,5.439056290693573,4
1628960,Grayson Allen,1610612756,PHX,30.0,4,1,3,0.25,34.8,5.8,13.8,0.418,3.8,9.8,0.385,2.3,2.8,0.818,0.8,2.3,3.0,5.5,1.8,1.0,0.3,0.8,3.3,3.0,17.5,-7.0,115.6,126.5,-10.8,0.227,25.0,0.02,0.067,0.043,8.0,0.555,0.585,0.189,100.78,0.088,4.509249752822894,1.8257418583505538,1.0,0.0,0.5,0.08748857068211824,0.0886359595950387,5.477225575051661,4
